Question category,Question as answered by child,Answer scale,"Reference, comments (in red) and possible conditions (in blue) in the question"
,"3 All in all, I am inclined to feel that I am a failure. ",Strongly Agree,"Note! The order of the answer alternatives is the opposite as in the original Rosenberg scale. Please, take that into consideration when calculating the  total scores. "
,4 I am able to do things as well as most other people.,,
,5 I feel I do not have much to be proud of.,,
,6 I take a positive attitude toward myself.,,
,"7 On the whole, I am satisfied with myself.",,
,8 I wish I could have more respect for myself.,,
,9 I certainly feel useless at times.,,
,10 At times I think I am no good at all.,,
,,,
,,,
Anxiety,Below is a list of sentences that describe how people feel. Choose the response that seems to describe you for the last 3 months.,Not True or Hardly Ever True,"Birmaher B, Khetarpal S, Brent D, Cully M, Balach L, Kaufman J, et al. The Screen for Child Anxiety Related Emotional Disorders (SCARED): scale construction and psychometric characteristics. J Am Acad Child Adolesc Psychiatry 1997 Apr;36(4):545-553. "
,3 I don’t like to be with people I don’t know well.,Somewhat True or Sometimes True,
,4 I get scared if I sleep away from home.,Very True or Often True,
,5 I worry about other people liking me,,
,7 I am nervous,,
,8 I follow my mother or father wherever they go.,,
,10 I feel nervous with people I don’t know well.,,
,13 I worry about sleeping alone.,,
,14 I worry about being as good as other kids,,
,16 I have nightmares about something bad happening to my parents.,,
,20 I have nightmares about something bad happening to me.,,
,21 I worry about things working out for me,,
,23 I am a worrier.,,
,25 I am afraid to be alone in the house.,,
,26 It is hard for me to talk with people I don’t know well.,,
,28 People tell me that I worry too much,,
,29 I don’t like to be away from my family.,,
,31 I worry that something bad might happen to my parents.,,
,32 I feel shy with people I don’t know well.,,
,33 I worry about what is going to happen in the future,,
,35 I worry about how well I do things,,
,37 I worry about things that have already happened.,,
,"39 I feel nervous when I am with other children or adults and I have to do something while they watch me (for example: read aloud, speak, play a game, play a sport.)",,
,"40 I feel nervous when I am going to parties, dances, or any place where there will be people that I don’t know well.",,
,41 I am shy.,,
,,,
,,,
Depression,Below is a list of the ways you might have felt or acted. Please check how much you have felt this way during the past week.,I didn’t feel like this at all,"Weissman MM, Orvaschel H, Padian N. Children's symptom and social functioning self-report scales. Comparison of mothers' and children's reports. J Nerv Ment Dis 1980 Dec;168(12):736-740. "
,1 I was bothered by things that usually don’t bother me.,I felt a little like this,Center for Epidemiological Studies Depression Scale for Children (CES-DC)
,"2 I did not feel like eating, I wasn’t very hungry. ",I felt some like this,
,"3 I wasn’t able to feel happy, even when my family or friends tried to help me feel better.",I felt a lot like this,
,4 I felt like I was just as good as other kids. ,,
,5 I felt like I couldn’t pay attention to what I was doing. ,,
,6 I felt down and unhappy. ,,
,7 I felt like I was too tired to do things. ,,
,8 I felt like something good was going to happen. ,,
,9 I felt like things I did before didn’t work out right. ,,
,10 I felt scared.,,
,11 I didn’t sleep as well as I usually sleep. ,,
,12 I was happy. ,,
,13 I was more quiet than usual. ,,
,"14 I felt lonely, like I didn’t have any friends. ",,
,15 I felt like kids I know were not friendly or that they didn’t want to be with me,,
,16 I had a good time. ,,
,17 I felt like crying. ,,
,18 I felt sad. ,,
,19 I felt people didn’t like me. ,,
,20 It was hard to get started doing things.,,
,,,
,,,
Obsessive-compulsive disorder (OCD),Please answer each question by choosing the response that best describes you.  ,No,"Uher R, Heyman I, Mortimore C, Frampton I, Goodman R. Screening young people for obsessive compulsive disorder. Br J Psychiatry 2007 Oct;191:353-354. "
,1 Does your mind often make you do things - such as checking or touching things or counting things -  even though you know you don't really have to? ,A bit,"CONDITION: if answered ""a bit"" or ""a lot"", then questions ""Do these things interfere with your life?"" and ""Do you try to stop them?"""
,2 Are you particularly fussy about keeping your hands clean? (2) ,A lot,Short OCD Screener (SOCS)
,3 Do you ever have to do things over and over a certain number of times before they seem quite right? (3),,
,4 Do you ever have trouble finishing your school work or chores because you have to do something over and over again? (4),,
,5 Do you worry a lot if you've done something not exactly the way you like? (5),,
,,,
,,,
,Do these things interfere with your life?,Yes,
,,No,
,,,
,,,
,Do you try to stop them?,Yes,
,,No,
,,,
,,,
Weight perception,How do you describe your weight?,Very underweight,"Brener ND, Kann L, Kinchen SA, Grunbaum JA, Whalen L, Eaton D, et al. Methodology of the youth risk behavior surveillance system. MMWR Recomm Rep. 2004 Sep 24;53(RR-12):1-13."
,,Slightly underweight,
,,About the right weight,
,,Slightly overweight,
,,Very overweight,
,,,
,,,
,Which of the following are you trying to do about your weight?,I am not trying to do anything about my weight,"Brener ND, Kann L, Kinchen SA, Grunbaum JA, Whalen L, Eaton D, et al. Methodology of the youth risk behavior surveillance system. MMWR Recomm Rep. 2004 Sep 24;53(RR-12):1-13."
,,Stay the same weight,
,,Gain weight,
,,Lose weight,
,,,
,,,
Disordered eating symptoms,"These 26 questions are about food and eating. There are no right or wrong answers to these questions, so just try to answer honestly. ",Always,Children's Eating Attitudes Test (ChEAT)
,1 I fear I will be overweight.,Very often,"Maloney MJ, McGuire J, Daniels SR, Specker B. Dieting behavior and eating attitudes in children. Pediatrics 1989 Sep;84(3):482-489. "
,2 I skip a meal when I am hungry.,Often,"Maloney MJ, McGuire JB, Daniels SR. Reliability testing of a children's version of the Eating Attitude Test. J Am Acad Child Adolesc Psychiatry 1988 Sep;27(5):541-543. "
,3 I think about food nearly all the time.,Sometimes,
,4 I have eaten plenty of food and I have felt that I might not be able to stop eating.,Rarely,
,5 I cut up my food into small pieces.,Never,
,6 I think about the calories in the food I have eaten.,,
,"7 I try to avoid certain foods such as bread, potatoes and rice.",,
,8 I feel that other people think I should eat more.,,
,9 I vomit after I have eaten.,,
,10 I feel great guilt when I have eaten.,,
,11 I think a lot about wanting to be thinner.,,
,12 I think about how many calories I am using when exercising.,,
,13 Other people think I am too thin.,,
,14 I often think about having too much body fat.,,
,15 I eat more slowly than others.,,
,16 I avoid food with sugar.,,
,17 I eat diet or “light” food.,,
,18 I think food controls my life.,,
,"19 When I eat, I can stop eating whenever I want.",,
,20 I feel that others pressure me to eat.,,
,21 I spend too much time and energy thinking about food.,,
,22 I feel sick after eating sweets.,,
,23 I have been on a diet.,,
,24 I feel good when my stomach is empty.,,
,"25 I like trying new fatty, heavy foods.",,
,26 I have to vomit after a meal.,,
,,,
,,,
Binge eating symptoms,"During the past year, how often have you eaten so much food in a short period of time that you would be embarrassed if others saw you?",Never,"Field AE, Taylor CB, Celio A, Colditz GA. Comparison of self-report to interview assessment of bulimic behaviors among preadolescent and adolescent girls and boys. Int J Eat Disord 2004 Jan;35(1):86-92. "
,,A couple of times,GUTS (Growing Up Today Study)
,,Less than once a month,"CONDITION: If answered other than ""never"", then question ""Did you feel out of control, like you couldn´t stop eating even if you wanted to stop?""."
,,1-3 times a month,
,,Once a week,
,,More than once a week,
,,,
,,,
,"Did you feel out of control, like you couldn´t stop eating even if you wanted to stop?",Yes,
,,No,
,,,
,,,
Screen time,"How many hours a day do you normally watch TV, videos or DVDs? By TV, we mean programmes that can be watched on TV as well as on a computer.",,"LifeGene, a Swedish study, WHO HBSC (Health Behaviour in School-aged Children) study; small modifications in the wording. Same answer alternatives as in the WHO Study"
,a School days,"I do not watch TV, videos or DVDs","CONDITION: If answered other than  ""I do not watch TV, videos or DVDs""  then question ""What sort of TV programmes do you normally watch? It doesn’t matter if you have not watched the exact programmes mentioned here. "". (note ""What sort of TV programmes do you normally watch? It doesn’t matter if you have not watched the exact programmes mentioned here. "" only in pilot 1)"
,b Weekends or days off,Around half an hour a day,
,,Around an hour a day,
,"How many hours a day during your free time do you normally watch TV, videos or DVDs? By TV, we mean programmes that can be watched on TV as well as on a computer.",Around two hours a day,"Change in 2012, after first pilot. In the new question we ask only about free time. "
,a School days,Around three hours a day,
,b Weekends or days off,Around four hours a day,
,,Around five hours a day,
,,Around six hours a day,
,,Around seven hours a day or more,
,,,
,,,
,What sort of TV programmes do you normally watch? It doesn’t matter if you have not watched the exact programmes mentioned here. ,tick the ones that applies to you,Own question
,1 News programmes,,
,2 Sports programmes ,,
,3 Lifestyle programmes,,
,4 Children’s programmes,,
,5 Animations,,
,6 Comedy series,,
,7 Entertainment programmes,,
,8 Crime series,,
,9 Nature and wildlife programmes,,
,10 Humour programmes,,
,11 Drama series,,
,12 Reality TV programmes,,
,,,
,,,
,"How many hours a day do you normally use a computer, e.g. spend time on the Internet, chat or play computer or TV games sitting down (e.g. PlayStation, Xbox)? ",I do not use computer,"LifeGene, a Swedish study; small modifications in the wording. Same answer alternatives as in the WHO HBSC (Health Behaviour in School-aged Children) study"
,a School days,Around half an hour a day,
,b Weekends or days off,Around an hour a day,
,,Around two hours a day,
,"How many hours a day during your free time do you normally use a computer, e.g. spend time on the Internet, chat or play computer or TV games sitting down (e.g. PlayStation, Xbox)? ",Around three hours a day,"Change in 2012, after first pilot. In the new question we ask only about free time. "
,a School days,Around four hours a day,
,b Weekends or days off,Around five hours a day,
,,Around six hours a day,
,,Around seven hours a day or more,
,,,
,,,
,,,
Parent child relationship,Answer the following questions about your mother or the person who you regard as your mother. ,Strongly disagree,"Steinberg L. Over-time changes in adjustment and competence among adolescents from authoritative, authoritarian, indulgent, and neglectful families. Child Dev 1994;65(3):754. "
,"1 I can count on my mother to help me out, if I have some kind of problem.",Disagree somewhat,
,2 My mother says that you shouldn't argue with adults.,Agree somewhat,
,3 My mother keeps pushing me to do my best in whatever I do.,Strongly agree,
,4 My mother says that you should give in on arguments rather than make people angry.,,
,5 My mother keeps pushing me to think independently.,,
,"6 When I get a poor grade in school, my mother makes my life miserable.",,
,7 My mother helps me with my schoolwork if there is something I don't understand.,,
,8 My mother tells me that her ideas are correct and that I should not question them.,,
,"9 When my mother wants me to do something, she explains why.",,
,"10 Whenever I argue with my mother, she says things like, ""You'll know better when you grow up.""",,
,"11 When I get a poor grade in school, my mother encourages me to try harder.",,
,12 My mother lets me make my own plans for things I want to do.,,
,13 My mother knows who my friends are.,,
,14 My mother acts cold and unfriendly if I do something she doesn't like.,,
,15 My mother spends time just talking with me.,,
,"16 When I get a poor grade in school, my mother makes me feel guilty.",,
,17 My family does things for fun together.,,
,18 My mother won't let me do things with her when I do something she doesn't like.,,
,,,
,I am satisfied with . . .,Strongly agree,Growing up Today Study 2005 (about 14 yrs old)
,1 The love and affection my mother shows me,Agree,"Cerdá et al, Family ties: Maternal-offspring attachment and young adultnonmedical prescription opioid use. Drug and Alcohol Dependence 142 (2014) 231–238"
,2 The emotional support my mother gives me,Neither agree nor disagree,
,3 How many things my mother and I have in common,Disagree,
,4 The amount of time my mother and I spend together,Strongly disagree,
,5 The way my mother and I resolve conflicts,,
,6 The respect my mother shows me,,
,7 The fun my mother and I have together,,
,8 The way my mother and I communicate with each other,,
,"9 My relationship with my mother, in general",,
,,,
,,,
,Answer the following questions about your father or the person who you regard as your father.,Strongly disagree,"Steinberg L. Over-time changes in adjustment and competence among adolescents from authoritative, authoritarian, indulgent, and neglectful families. Child Dev 1994;65(3):754. "
,"1 I can count on my father to help me out, if I have some kind of problem.",Disagree somewhat,
,2 My father says that you shouldn't argue with adults.,Agree somewhat,
,3 My father keeps pushing me to do my best in whatever I do.,Strongly agree,
,4 My father says that you should give in on arguments rather than make people angry.,,
,5 My father keeps pushing me to think independently.,,
,"6 When I get a poor grade in school, my father makes my life miserable.",,
,7 My father helps me with my schoolwork if there is something I don't understand.,,
,8 My father tells me that his ideas are correct and that I should not question them.,,
,"9 When my father wants me to do something, he explains why.",,
,"10 Whenever I argue with my father, he says things like, ""You'll know better when you grow up.""",,
,"11 When I get a poor grade in school, my father encourages me to try harder.",,
,12 My father lets me make my own plans for things I want to do.,,
,13 My father knows who my friends are.,,
,14 My father acts cold and unfriendly if I do something he doesn't like.,,
,15 My father spends time just talking with me.,,
,"16 When I get a poor grade in school, my father makes me feel guilty.",,
,17 My family does things for fun together.,,
,18 My father won't let me do things with him when I do something he doesn't like.,,
,,,
,I am satisfied with…,Strongly agree,Growing up Today Study 2005 (about 14 yrs old)
,1 The love and affection my father shows me,Agree,"Cerdá et al, Family ties: Maternal-offspring attachment and young adultnonmedical prescription opioid use. Drug and Alcohol Dependence 142 (2014) 231–238"
,2 The emotional support my father gives me,Neither agree nor disagree,
,3 How many things my father and I have in common,Disagree,
,4 The amount of time my father and I spend together,Strongly disagree,
,5  The way my father and I resolve conflicts,,
,6 The respect my father shows me,,
,7 The fun my father and I have together,,
,8  The way my father and I communicate with each other,,
,"9 My relationship with my father, in general",,
,,,
,,,
Parenting practices, Do your parents or the adults you live with decide...,"Yes, on school days and at weekends","Our own question, ideas from Adj. Prof. Mirjam Kalland, Adj. Prof. Eva Roos and Carola Ray."
,1 how long you are allowed to use the computer? ,"Yes, but only on school days","NOTE: The answer alternative ""yes, but only on weekends"" was implemented 21.3.2013, and therefore some participants did not have that alternative. "
,2 what you are allowed to do on the computer?,Yes but only on weekends,
,3 how long you are allowed to watch TV?,No,
,4 which TV programmes you are allowed to watch?,Does not concern me,
,5 when you have to go to bed?,,
,6 when you have to eat?,,"Option ""When you have to eat"" was removed in 2012, after first pilot study "
,7 when you have to come home in the evenings?,,
,,,
,,,
,Which rules apply at the dinner table in your home?,Really true,"Ray,C. Does Parental Warmth and Responsiveness Moderate the Associations Between Parenting Practices and Children’s Health-related Behaviors? Journal of Nutrition Education and Behavior 2013 45 (6) 602-610"
,1 There are rules for meals that I have to follow,TRUE,"Question ""Which rules apply at the dinner table in your home?"" was included after pilot 1. "
,"2 I have to taste the food that is served, even though I don't like it",Not true,
,3 I have to eat all meals at the table,Really not true,
,,,
,,,
,,,
Life events,Below is a list of things that sometimes happen to people. Which of the following life events or changes have happened to you? ,This has not happened to me,Johnson J. Life Events As Stressors in Childhood and Adolescence. Newbury Park: Sage Publications; 1986. 
,1 Family moved to another municipality             ,This happened to me within the last year,
,2 Sibling was born,This happened to me over a year ago,
,3 Family member was seriously ill / injured,,
,4 Parental separation or divorce,,
,5 Parents argued with each other more than previously              ,,
,6 Mother/father became unemployed,,
,7 Family member died,,
,"8 Parent was accused, arrested or convicted of a crime",,
,9 Family had financial difficulties,,
,,,
,,,
Alone time during school days,How long are you normally at home without any adults around on school days? ,Not at all,"Hälsoverkstaden 2006, a Finnish school study"
,,Around half an hour,
,,1–2 hours,
,,3–4 hours,
,,5 hours or more,
,,,
,,,
Experience of alcohol consumption ,Does someone close to you drink too much alcohol?,Yes,"THL “Kouluterveyskysely” 2009, the Finnish School Health Promotion study"
among close person,,No,"CONDITION: If answered yes, then question ""Has this caused harm or problems in your life? ""."
,,,
,,,
,Has this caused harm or problems in your life? ,Yes,
,,No,
,,,
,,,
Bullying,How often have you been bullied at school within the last six months? ,Several times a week,Questions from School Health Promotion Study (Kouluterveyskysely) 2009.  
,,Around once a week,"Luopa et al. Kouluterveyskysely 1998-2007: Nuorten hyvinvoinnin kehitys ja alueelliset erot. Stakes, 2008;23"
,,Rarely,
,,Not at all,
,,,
,,,
,How often have you been involved in bullying other pupils within the last six months?,Several times a week,
,,Around once a week,
,,Rarely,
,,Not at all,
,,,
,,,
Body image,Choose the picture that looks most like your body shape now,"1,2,3,4,5,6,7",Collins ME. Body figure perceptions and preferences among preadolescent children. Int J Eat Disord 1991;10(2):199. 
,,"thinnest to biggest, 7 categories",
,,,
,,,
,Choose the picture that looks most like how you want your body to look now,"1,2,3,4,5,6,7",Collins ME. Body figure perceptions and preferences among preadolescent children. Int J Eat Disord 1991;10(2):199. 
,,"thinnest to biggest, 7 categories ",
,,,
,,,
Puberty,Boys: Choose the picture that is the most accurate for your pubic hair development,"1,2,3,4,5, 5 categories, I don't know/don´t want to answer",Tanner J. Growth in adolescents. England: Blackwell Scientific; 1962. 
,Girls: Choose the picture that is the most accurate for your breast development,"1,2,3,4,5, 5 categories, I don't know/don´t want to answer",
,Girls: Choose the picture that is the most accurate for your pubic hair development,"1,2,3,4,5, 5 categories, I don't know/don´t want to answer",
,,,
,,,
,Have you started having periods? ,No,WHO HBSC (Health Behaviour in School-aged Children) study for 11 year olds
,Have you ever ejaculated (siemen)?,Yes,with modifications (two questions instead of one)
,,,"CONDITION: If answered ""Yes"", then question ""How old were you when you first ejaculated?"" or ""How old were you when you got your first period? ""."
,,,
,,,
,How old were you when you first ejaculated?,,
,,Open text,WHO HBSC (Health Behaviour in School-aged Children) study for 11 year olds
,How old were you when you got your first period?  ,,with modifications (two questions instead of one)
,,,
,,,
