Question category,Question,Values,"Comments (pop-up questions, open questions etc.)",Reference
,"Kuinka paljon painat? Punnitse itsesi kevyessä alusasussa ja paidassa. Tyhjennä mahdolliset taskut tavaroista. Jos sinulla ei ole kotona vaakaa, voit punnita itsesi terveydenhoitajan luona, liikuntapaikassa tai jonkun kaverin kotona. Ilmoita painosi kokonaisina kilogrammoina, ilman desimaaleja. ",,"open text, kg, no decimals",
,Milloin punnitsit itsesi? ,1 = Punnitsin itseni tänään ; 2 = Punnitsin itseni viimeisen kuukauden aikana ; 3 = Arvasin painoni ,This question is included because we cannot be sure that the participant really weighs him-/herself,
,Oletko raskaana tällä hetkellä?,"1=kyllä; 2=en; -88 = filled in the questionnaire before 26.1.2021 when this question was not included; 0 = men who filled in the questionnaire after 26.1.2021, i.e. replied 1 on ""Sex""","This question only for women and ""other"" sex","Own question, same as in the parents' baseline questionnaire"
,Oletko synnyttänyt edellisen 12 kuukauden aikana?,"1=kyllä; 2=en; -88 = filled in the questionnaire before 26.1.2021 when this question was not included; 0 = men who filled in the questionnaire after 26.1.2021, i.e. replied 1 on ""Sex""","This question only for women and ""other"" sex","Own question, same as in the parents' baseline questionnaire"
,Voit halutessasi antaa palautetta kysymyksistä,text; -88 = filled in the questionnaire before 26.1.2021 when this question was not included; 0 = filled in the questionnaire after 26.1.2021 but did not give any feedback,Open question,
Meal patterns,Kuinka usein yleensä syöt seuraavia aterioita arkipäivinä?,,,"Own question: all meals included in one question. Ideas from the WHO HBSC (Health Behaviour in School-aged Children) study/“Hälsoverkstaden”, a Finnish school study"
,Aamiainen (muuta kuin juoma),1 = Harvoin tai ei koskaan ; 2 = 1 päivänä viikossa ; 3 = 2 päivänä viikossa ; 4 = 3 päivänä viikossa ; 5 = 4 päivänä viikossa ; 6 = 5 päivänä viikossa,,
,Lounas,1 = Harvoin tai ei koskaan ; 2 = 1 päivänä viikossa ; 3 = 2 päivänä viikossa ; 4 = 3 päivänä viikossa ; 5 = 4 päivänä viikossa ; 6 = 5 päivänä viikossa,,
,Välipala (muuta kuin juoma) ,1 = Harvoin tai ei koskaan ; 2 = 1 päivänä viikossa ; 3 = 2 päivänä viikossa ; 4 = 3 päivänä viikossa ; 5 = 4 päivänä viikossa ; 6 = 5 päivänä viikossa,,
,Päivällinen,1 = Harvoin tai ei koskaan ; 2 = 1 päivänä viikossa ; 3 = 2 päivänä viikossa ; 4 = 3 päivänä viikossa ; 5 = 4 päivänä viikossa ; 6 = 5 päivänä viikossa,,
,Iltapala (muuta kuin juoma),1 = Harvoin tai ei koskaan ; 2 = 1 päivänä viikossa ; 3 = 2 päivänä viikossa ; 4 = 3 päivänä viikossa ; 5 = 4 päivänä viikossa ; 6 = 5 päivänä viikossa,,
Special diets and allergies,Noudatatko erityisruokavaliota? Valitse yksi tai useampi vaihtoehto ,"1=Laktoositon ruokavalio,2=Gluteeniton ruokavalio (vältän kotimaisia viljoja),3=Diabeetikon ruokavalio,4=Vähäkolesterolinen ruokavalio,5=Laihdutusruokavalio,6=Ruoka-aineallergia,7=Vegaaniruokavalio (ei lainkaan eläinkunnan tuotteita),8=Kasvisruokavalio (sisältää maitotuotteita tai kananmunaa),9=Muu ruokavalio,10=En noudata erikoisruokavaliota",,THL's FinHealth study (FinTerveys) 2017
,Mille ruoka-aineelle olet allerginen? ,"text; 0 = replied other than 6 on question ""Do you follow a special diet? You can choose one or several options.""",Pop up question (open question) for those who answer 6 in previous question (=special diet question),
,Olen ollut vegaani vuodesta ,"text; 0 = replied other than 7 on question ""Do you follow a special diet? You can choose one or several options.""",Pop up question (open question asking for a year) for those who answer 7 in the special diet question,
,Olen ollut kasvissyöjä vuodesta ,"text; 0 = replied other than 8 on question ""Do you follow a special diet? You can choose one or several options.""",Pop up question (open question asking for a year) for those who answer 8 in the special diet question,
,Mikä muu ruokavalio? ,"text; 0 = replied other than 9 on question ""Do you follow a special diet? You can choose one or several options.""",Pop up question (open question) for those who answer 9 in the special diet question,
FFQ,"Kuinka usein olet edellisen 12 kuukauden aikana käyttänyt seuraavia ruokia ja juomia? Valitse jokaisen ruoan ja juoman kohdalla yksi vaihtoehto, joka kuvaa parhaiten käyttötiheyttäsi. Jos käyttämäsi annos on useimmiten pienempi tai suurempi kuin rivillä mainittu keskimääräinen annoskoko, huomioi se arvioimalla käyttötiheys hieman todellista pienemmäksi tai suuremmaksi. Jos lomakkeella ei ole mainintaa usein käyttämästäsi ruosta tai juomasta, kirjoita se kunkin ryhmän perässä seuraavalle tyhjälle riville.",,"In column D, the food is mentioned first, the portion size directly after that ","THL's FinHealth study (FinTerveys) 2017. Paalanen L, Männistö S, Virtanen MJ, Knekt P, Räsänen L, Montonen J, Pietinen P. Validity of a food frequency questionnaire varied by age and body mass index. J Clin Epidemiol. 2006 Sep;59(9):994-1001. Epub 2006 May 30."
,Täysmaito lasillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Kevyt- tai ykkösmaito (myös HYLA, laktoositon) lasillinen",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Rasvaton maito (myös HYLA, laktoositon) lasillinen",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Piimät lasillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Jogurtti, juotava jogurtti tai viili (rasvaa vähintään 2 %) purkillinen/1 annos",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kevytjogurtti tai -viili (rasvaa alle 2 %) purkillinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Maitorahka 1/2 purkkia,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Juusto, höylättävä kova (esim. Edam, Emmental) 2 höylättyä viipaletta",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Vähärasvainen juusto, höylättävä kova (esim. Edam 17, Polar 15) 2 höylättyä viipaletta",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Sulate- tai tuorejuusto 1 rkl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Erikoisjuustot (esim. homejuusto, feta) 30 g",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Raejuusto 1 dl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Leipäjuusto 50 g,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muu maitovalmiste ,text; 0 = did not reply to this question,Open question,
,Muun maitovalmisteen annoskoko ,text; 0 = did not reply to this question,Pop up question (open question) for those who answer the previous question,
,Muun maitovalmisteen käyttötiheys ,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä; 0 = did not reply to this question,Pop up question for those who answer the question before previous,
,Ruisleipä 1 viipale,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Sekaleipä, grahamsämpylä tai -paahtoleipä 1 viipale/1 kpl",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Ranskanleipä, patonki tai muu valkoinen leipä 1 viipale/1 kpl",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Näkkileipä tai hapankorppu 1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Gluteenittomat leivät tai leivonnaiset 1 viipale/1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Puurot tai vellit lautasellinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Aamiaismurot tai Weetabix lautasellinen,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Mysli 3-4 rkl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Leseet 1 rkl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Karjalanpiirakka 1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Suolainen piirakka tai pasteija 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Pulla tai korppu 1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Wieneri tai munkki 1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Makea piirakka 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Kakku, muffinssi, kääretorttu tai leivos 1 annos",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Pikkuleivät tai keksit 2 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muu viljavalmiste ,text; 0 = did not reply to this question,Open question,
,Muun viljavalmisteen annoskoko ,text; 0 = did not reply to this question,Pop up question (open question) for those who answer the previous question,
,Muun viljavalmisteen käyttötiheys ,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä; 0 = did not reply to this question,Pop up question for those who answer the question before previous,
,Voi tai Oivariini 1-2 tl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Margariini (esim. Keiju 70, Flora Kulta, Becel 60) 1-2 tl",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Kevytlevite (esim. Kevyt Levi 40, Kevyt Becel 38, Keiju Kevyt 30) 1-2 tl",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Benecol, Becel ProActiv tai Keiju Alentaja -rasvalevite 1-2 tl",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Muu rasvalevite ,text; 0 = did not reply to this question,Open question,
,Muun rasvalevitteen annoskoko ,text; 0 = did not reply to this question,Pop up question (open question) for those who answer the previous question,
,Muun rasvalevitteen käyttötiheys ,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä; 0 = did not reply to this question,Pop up question for those who answer the question before previous,
,Tomaatti 1 kpl,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kurkku 3 cm pala,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Paprika 2 rengasta,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Vihersekasalaatti ruukku- tai keräsalaatista 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Kiinankaali-, valko- tai punakaalisalaatti 1 annos",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Salaattikastike (öljy, öljy- tai majoneesipohjainen) 1-2 rkl",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kermaviilipohjainen salaattikastike 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,Kevytsalaattikastike 1 annos,1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
,"Majoneesipohj. salaatti (esim. peruna-, punajuuri- tai italiansalaatti) 1 annos",1 = ei lainkaan ;  2 = alle 1 kertaa kuussa ; 3 = 1-3 kertaa kuussa ; 4 = kerran viikossa ; 5 = 2-4 kertaa viikossa ; 6 = 5-6 kertaa viikossa ; 7 = kerran päivässä ; 8 = 2-3 kertaa päivässä ; 9 =  4-5 kertaa päivässä ; 10 =  6+kertaa päivässä,,
