Question category,Question as answered by guardian,Answer scale,"Reference, comments (in red) and possible conditions (in blue) in the question",,,,,,,
,,,,,,,,,,
,Rules for eating: How often do you do the following:,,"ALSPAC Study (Avon Longitudinal Study of Parents and Children), Bristol University, UK Child based questionnaire: My son’s/daughter’s health and happiness, 10.7 years",,,,,,,
,1 I insist that he/she eats all the food on her plate,Always,,,,,,,,
,2 If he/she she does not finish all of the main course she is not allowed a pudding,Sometimes,,,,,,,,
,3 I tell him/her off for playing or fiddling with food at mealtimes,Never,,,,,,,,
,"4 I allow him/her to eat only at meal times, and not in between meals",Not applicable,,,,,,,,
,5 I cheer him/her up with something to eat if she is sad or upset,,,,,,,,,
,6 I like to take him/her out for a special meal when something good happens to her,,,,,,,,,
,7 I give him/her his/her favourite food when he/she is hurt or sick,,,,,,,,,
,8 I like to prepare a special meal for her when something good happens to him/her,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Child special diets,Is your child on a special diet? You may select more than one option.,,"THL “Yläkoulututkimus”, a Finnish school study.",,,,,,,
,"1 No, he/she is not on one",,Small modifications: ’weight reducing diet’ and ‘diabetic’s diet’ deleted; the question is adapted to the parent questionnaire.,,,,,,,
,2 Lactose-free or low-lactose diet ,,,,,,,,,
,3 Vegetarian diet,,,,,,,,,
,4 Gluten-free diet,,,,,,,,,
,"Another diet, which one (open text) ",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Child food allergies,Does your child have a food allergy? You may select more than one option.,,"THL “Yläkoulututkimus”, a Finnish school study, with our own answer alternatives and adapted to the parent questionnaire. The answer alternatives are the most common allergy causative foodstuffs according to Prof. Erika Isolauri and dietitian Jetta Tuokkola",,,,,,,
,"1 No, he/she does not have any",,,,,,,,,
,2 Milk,,,,,,,,,
,3 Eggs,,,,,,,,,
,4 Fish,,,,,,,,,
,"5 Wheat, barley or rye",,,,,,,,,
,6 Fruit,,,,,,,,,
,7 Vegetable or root vegetable,,,,,,,,,
,8 Nuts,,,,,,,,,
,"Another food substance, which one? ",open text,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Child use of supplements,Has your child used any nutritional supplement within the last month? You may select more than one option. ,,Use of supplements.,,,,,,,
,"1 No, he/she has not used any",,"THL “Yläkoulututkimus”, a Finnish school study, adapted to the parent questionnaire.",,,,,,,
,2 Multivitamin supplement,,Fish oil supplement is added,,,,,,,
,3 Iron supplement,,,,,,,,,
,4 Calcium supplement,,,,,,,,,
,5 Vitamin D supplement,,,,,,,,,
,6 Fish oil supplement (omega-3),,,,,,,,,
,7 Protein supplement,,,,,,,,,
,"Another type of supplement, what? ",open text,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Height,How tall are you?,"open text, cm, no decimals","Height, weight and waist circumference are without decimals, because they are self-reported and the measurement procedure is inexact",,,,,,,
,"Report your height in centimetres, without decimals. ",,,,,,,,,
,,,,,,,,,,
Weight,How much do you weigh?,"open text, kg, no decimals",,,,,,,,
,Weigh yourself wearing underwear and a light shirt. ,,,,,,,,,
,"Report your weight in kilograms, without decimals.",,,,,,,,,
,,,,,,,,,,
,When did you weigh yourself?,I weighed myself today,is included because we cannot be sure that the participant really weighs herself,,,,,,,
,,I weighed myself within the last month,,,,,,,,
,,I guessed my weight,,,,,,,,
,,,,,,,,,,
Waist circumference,What is your waist circumference? ,"open text, cm, no decimals","According to standard procedures, waist circumference is measured midway between the hip bones and the ribs. This is the case in most studies, e.g. the FinnTwin Study (contact person Eila Voipio). Our expert in the collaboration group, Prof. Johan Eriksson, also recommended this site of measurement.",,,,,,,
,Use the measuring tape that we sent you. ,,The instruction text is based on Duodecim/Terveyskirjasto (Finnish Health library) with small modifications: http://www.terveyskirjasto.fi/terveyskirjasto/tk.koti?p_artikkeli=dlk00890,,,,,,,
,Lift or remove your shirt so that your stomach is bare.,,,,,,,,,
,"Stand up straight, putting your weight equally on both your feet.",,,,,,,,,
,Do not suck in your stomach.,,,,,,,,,
,Now measure your waist circumference like this. You may also ask someone to help. ,,,,,,,,,
,"Feel both your sides and the top part of your hip bones. There is a soft area above your hip bones, and above that you can feel your bottom ribs. Measure your waist midway between your hip bones and your ribs.",,,,,,,,,
,"Hold the measuring tape horizontal. In other words, at the same level around your waist. The measuring tape should not be tight, but not too loose either. ",,,,,,,,,
,Breathe calmly. Take the measurement when breathing out. ,,,,,,,,,
,"Report your waist circumference in centimetres, without decimals. ",,,,,,,,,
,,,,,,,,,,
,Are you pregnant at the moment?,yes,Questions about pregnancy added in October 2012,,,,,,,
,,no,,,,,,,,
,,,,,,,,,,
,Have you given birth during the last year?,yes,,,,,,,,
,,no,,,,,,,,
,,,,,,,,,,
Socioeconomic status,What is your highest educational qualification?,,"Helsinki Health Study, with small modifications",,,,,,,
,,"Primary school, middle school, or comprehensive school",,,,,,,,
,,Vocational school or equivalent,,,,,,,,
,,Matriculation examination,,,,,,,,
,,Technical institute qualification,,,,,,,,
,,Diploma from a university of applied sciences,,,,,,,,
,,Academic or university degree,,,,,,,,
,,,,,,,,,,
,"What is your current occupation? If you are not working at the moment, what was your last occupation?",,"“Hälsoverkstaden”, Finnish school study, parent’s questionnaire/Pro greens study, with small modifications.]",,,,,,,
,,Farmer,,,,,,,,
,,Self-employed,,,,,,,,
,,An employee without a professional qualification.,,,,,,,,
,,A qualified manual worker,,,,,,,,
,,Office/clerical employee,,,,,,,,
,,Mid-level white-collar employee,,,,,,,,
,,Senior professional/managerial,,,,,,,,
,,I have not worked outside the home,,,,,,,,
,,,,,,,,,,
,Which one of the following options best describes your current main activity?,,"“Hälsoverkstaden”, Finnish school study, parent’s questionnaire, with small modifications",,,,,,,
,,At full-time job,,,,,,,,
,,At part-time job,,,,,,,,
,,Unemployed,,,,,,,,
,,Laid off,,,,,,,,
,,On long-term sick leave,,,,,,,,
,,Retired,,,,,,,,
,,Student,,,,,,,,
,,Housewife / house husband,,,,,,,,
,"Something else, what? ",open text,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Marital status,What is your marital status?,,Helsinki Health Study,,,,,,,
,,Single,,,,,,,,
,,Living together with a partner,,,,,,,,
,,Married,,,,,,,,
,,Divorced or separated,,,,,,,,
,,Widowed,,,,,,,,
,,,,,,,,,,
Family structure,How many people in your household (including yourself) are:,,THL AVTK study (Aikuisväestön terveyskäyttäytyminen – Health Beahaviour and Health among the Finnish Adult Population),,,,,,,
,1 Younger than 7 years old,open text,,,,,,,,
,2 7 -17 years old,open text,,,,,,,,
,3 18 - 24 years old,open text,,,,,,,,
,4 25 - 64 years old,open text,,,,,,,,
,5 65 years old or more,open text,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Enough money,How often do you have enough money to buy clothes and food that you or your family require?,,The financial situation in the family. ,,,,,,,
,,Always,"“Hälsoverkstaden”, Finnish school study, parent’s questionnaire]",,,,,,,
,,Often,,,,,,,,
,,Sometimes,,,,,,,,
,,Rarely,,,,,,,,
,,Never,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Illnesses,Which of these illnesses has a doctor diagnosed you with or treated you for?,,THL´s Idefix study,,,,,,,
,,,,,,,,,,
,1 High blood pressure ,tick all that apply to you. ,,,,,,,,
,2 Heart failure,,,,,,,,,
,3 Angina pectoris                                                        ,,,,,,,,,
,4 Heart attack or coronary thrombosis ,,,,,,,,,
,5 Irregular heartbeat ,,,,,,,,,
,6 Stroke or cerebral haemorrhage ,,,,,,,,,
,7 Cancer,,,,,,,,,
,8 Diabetes,,,,,,,,,
,9 Bronchial asthma,,,,,,,,,
,10 Pulmonary emphysema or chronic bronchitis,,,,,,,,,
,11 Rheumatoid arthritis,,,,,,,,,
,12 High cholesterol,,,,,,,,,
,13 Depression,,,,,,,,,
,14 Exhaustion or burn-out ,,,,,,,,,
,Do you have another chronic disease?,,"if 27_15 chosen, none of the other answer alternatives can be chosen. ",,,,,,,
,"15 I have not been diagnosed with, or treated for, any of the above conditions",open text,f27_other added in August 2013,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Smoking,"Do you smoke (cigarettes, cigar or pipe)?",,Our own question,,,,,,,
,,"Yes, I smoke regularly",,,,,,,,
,,"Yes, I smoke sometimes",,,,,,,,
,,"No, but I used to smoke regularly",,,,,,,,
,,"No, but I used to smoke occasionally",,,,,,,,
,,"I have never smoked, or I have only tried it a few times",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Use of snuff,Do you use snuff?,,Our own question,,,,,,,
,,"Yes, I use snuff regularly",,,,,,,,
,,"Yes, I use snuff sometimes",,,,,,,,
,,"No, but I used to use snuff regularly",,,,,,,,
,,"No, but I used to use snuff occasionally",,,,,,,,
,,I have never used snuff or I have only tried it a few times,,,,,,,,
,,,,,,,,,,
Alcohol consumption,How often do you have a drink containing alcohol?,,"AUDIT; Saunders JB, Aasland OG, Babor TF, de la Fuente JR, Grant M. Development of the Alcohol Use Disorders Identification Test (AUDIT): WHO Collaborative Project on Early Detection of Persons with Harmful Alcohol Consumption--II. Addiction 1993 Jun;88(6):791-804. ",,,,,,,
,,Never, CONDITION in f30: if Never (1) answered then skip f31-f39,,,,,,,
,1 serving = one bottle (330 ml) of medium-strength beer / cider,Monthly or less,,,,,,,,
,or a glass (120 ml) of wine,2 to 4 times a month,The definition of a serving is from THL's Finriski study 2008,,,,,,,
,"or a glass (80 ml) fortified wine (e.g. sherry, Madeira, port)",2 to 3 times a week,,,,,,,,
,or a glass of (40 ml) of spirits or other strong alcohol,4 or more times a week,,,,,,,,
,,,,,,,,,,
,"A bottle (330 ml) of class A beer (containing 4.8–5.8% alcohol) or Gin Long Drink (Finnish ""long drink"", made from gin and grapefruit soda) or strong cider = 1.25 servings",,,,,,,,,
,A large bottle (0.5 l) of medium-strength beer or cider (max. 4.7%) = 1.5 servings,,,,,,,,,
,A large bottle (0.5 l) of class A beer = 2 servings,,,,,,,,,
,A bottle (0.75 l) of wine = 7 servings,,,,,,,,,
,A bottle (0.75 l) of fortified wine = 10 servings,,,,,,,,,
,A bottle (0.5 l) of spirits (e.g. Koskenkorva) = 12 servings,,,,,,,,,
,,,,,,,,,,
,How many servings alcohol do you have on a typical day when you are drinking?,,,,,,,,,
,,1–2 servings,,,,,,,,
,,3–4 servings,,,,,,,,
,,5–6 servings,,,,,,,,
,,7–9 servings,,,,,,,,
,,10 servings or more,,,,,,,,
,,,,,,,,,,
,"When you drink alcohol, what kind of alcohol do you normally drink? You can choose several alternatives.  ",,"f32 is not part of AUDIT, but our own question on Elisabete Weiderpass' initiative. ",,,,,,,
,"1 Medium-strength beer or cider (4,7 %)",,,,,,,,,
,2 A (strong) beer,,,,,,,,,
,"3 Strong cider or Gin Long Drink (more than 4,7 %)",,,,,,,,,
,4 Red wine,,,,,,,,,
,5 White wine,,,,,,,,,
,6 Spirits or other strong alcohol,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,How often do you have six or more servings alcohol on one occasion?,,,,,,,,,
,,Never,,,,,,,,
,,Less than monthly,,,,,,,,
,,Monthly,,,,,,,,
,,Weekly,,,,,,,,
,,Daily or almost daily,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,How often during the last year have you found that you were not able to stop drinking once you had started?,,,,,,,,,
,,Never,,,,,,,,
,,Less than monthly,,,,,,,,
,,Monthly,,,,,,,,
,,Weekly,,,,,,,,
,,Daily or almost daily,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
, How often during the last year have you failed to do what was normally expected from you because of drinking?,,,,,,,,,
,,Never,,,,,,,,
,,Less than monthly,,,,,,,,
,,Monthly,,,,,,,,
,,Weekly,,,,,,,,
,,Daily or almost daily,,,,,,,,
,,,,,,,,,,
,How often during the last year have you needed a first drink in the morning to get yourself going after a heavy drinking session?,,,,,,,,,
,,Never,,,,,,,,
,,Less than monthly,,,,,,,,
,,Monthly,,,,,,,,
,,Weekly,,,,,,,,
,,Daily or almost daily,,,,,,,,
,,,,,,,,,,
,How often during the last year have you had a feeling of guilt or remorse after drinking?,,,,,,,,,
,,Never,,,,,,,,
,,Less than monthly,,,,,,,,
,,Monthly,,,,,,,,
,,Weekly,,,,,,,,
,,Daily or almost daily,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,How often during the last year have you been unable to remember what happened the night before because you had been drinking?,,,,,,,,,
,,Never,,,,,,,,
,,Less than monthly,,,,,,,,
,,Monthly,,,,,,,,
,,Weekly,,,,,,,,
,,Daily or almost daily,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Have you or someone else been injured as a result of your drinking?,,,,,,,,,
,,No,,,,,,,,
,,"Yes, but not in the last year",,,,,,,,
,,"Yes, during the last year",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Has a relative or friend or a doctor or another health worker been concerned about your drinking or suggested you cut down?,,,,,,,,,
,,No,,,,,,,,
,,"Yes, but not in the last year",,,,,,,,
,,"Yes, during the last year",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
General health status,"In general, would you say your health is:  ",,"RAND-36; Aalto A, Aro A, Teperi J. RAND-36 terveyteen liittyvän elämänlaadun mittarina – Mittarin luotettavuus ja suomalaiset väestöarvot. 1999. ",,,,,,,
,,Excellent,,,,,,,,
,,Very good,,,,,,,,
,,Good,,,,,,,,
,,Fair,,,,,,,,
,,Poor,,,,,,,,
,,,,,,,,,,
,"Compared to 1 year ago, how would you rate your health in general now?",,,,,,,,,
,,Much better now than 1 year ago,,,,,,,,
,,Somewhat better now than 1 year ago,,,,,,,,
,,About the same,,,,,,,,
,,Somewhat worse now than 1 year ago,,,,,,,,
,,Much worse now than 1 year ago,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"The following items are about activities you might do during a typical day.  Does your health now limit you in these activities?  If so, how much?  ",,,,,,,,,
,"1 Vigorous activities, such as running, lifting heavy objects, participating in strenuous sports",,,,,,,,,
,"2 Moderate activities, such as moving a table, pushing a vacuum cleaner, bowling",,,,,,,,,
,3  Lifting or carrying groceries        ,"Yes, limits a lot",,,,,,,,
,4 Climbing several flights of stairs   ,Yes limited a little,,,,,,,,
,5 Climbing one flight of stairs        ,"No, not limited at all",,,,,,,,
,"6 Bending, kneeling or stooping        ",,,,,,,,,
,7 Walking more than a mile             ,,,,,,,,,
,8 Walking several blocks              ,,,,,,,,,
,9 Walking one block                   ,,,,,,,,,
,10 Bathing or dressing yourself        ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"During the past 4 weeks, have you had any of the following problems                         ",,,,,,,,,
,with your work or other regular daily activities as a result of your physical health?  ,,,,,,,,,
,1 Cut down the amount of time you spend on work or other activities                    ,Yes,,,,,,,,
,2 Accomplished less than you would like          ,No,,,,,,,,
,3 Were limited in the kind of work or other activities                               ,,,,,,,,,
,4 Had difficulty performing the work or other  activities (for example it took extra effort)  ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"During the past 4 weeks, have you had any of the following problems with your work ",,,,,,,,,
,or other regular daily activities as a result of any emotional problems? ,,,,,,,,,
,1 Cut down the amount of time you spend on work or other activities                       ,Yes,,,,,,,,
,2 Accomplished less than you would like          ,No,,,,,,,,
,3 Didn't do work or other activities as carefully as usual                             ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"During the past 4 weeks, to what extent has your physical health      ",,,,,,,,,
,"or emotional problems interfered with your normal social activities with family, friends?    ",Not at all,,,,,,,,
,,Slightly,,,,,,,,
,,Moderately,,,,,,,,
,,Quite a bit,,,,,,,,
,,Extremely,,,,,,,,
,,,,,,,,,,
,How much bodily pain have you had in the past 4 weeks?,,,,,,,,,
,,None,,,,,,,,
,,Very mild,,,,,,,,
,,Mild,,,,,,,,
,,Moderate,,,,,,,,
,,Severe,,,,,,,,
,,Very severe,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"During the past 4 weeks, how much did pain interfere ",,,,,,,,,
,with your normal work (Including work outside the house and housework)?,Not at all,,,,,,,,
,,Slightly,,,,,,,,
,,Moderaltely,,,,,,,,
,,Quite a bit,,,,,,,,
,,Extremely,,,,,,,,
,,,,,,,,,,
,How much of the time during the last 4 weeks...,,,,,,,,,
,1 Did you feel full of pep?         ,All of the time,,,,,,,,
,2 Have you been a very nervous person?     ,Most of the time,,,,,,,,
,3 Have you felt so down in the dumps that nothing could cheer you up?                 ,A good bit of the time,,,,,,,,
,4 Have you felt calm and peaceful?    ,Some of the time,,,,,,,,
,5 Did you have a lot of energy?          ,A little of the time,,,,,,,,
,6 Have you felt downhearted and blue?,None of the time,,,,,,,,
,6 Did you feel worn out?              ,,,,,,,,,
,7 Have you been a happy person?         ,,,,,,,,,
,8 Did you feel tired?                   ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"During the past 4 weeks, how much of the time has your physical health ",,,,,,,,,
,"or emotional problems interfered with your social activities (like visiting with friends, etc.)?",All of the time,,,,,,,,
,,Most of the time,,,,,,,,
,,Some of the time,,,,,,,,
,,A little of the time,,,,,,,,
,,None of the time,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,How TRUE or FALSE is each of the following statements for you?,,,,,,,,,
,1 I seem to get sick a lot easier than other people             ,Definitely true,,,,,,,,
,2 I am as healthy as anybody I know           ,Mostly true,,,,,,,,
,3 I expect my health to get worse.            ,Don’t know,,,,,,,,
,4 My health is excellent                ,Mostly false,,,,,,,,
,,Definitely false,,,,,,,,
,,,,,,,,,,
Life events,Below is a list of things that sometimes happen to people. Which of the following events or changes happened to you before the age of 18?,,Items 1-10 are from Johnson J. Life Events As Stressors in Childhood and Adolescence. Newbury Park: Sage Publications; 1986. ,,,,,,,
,1 Family moved to another municipality,Yes,Items 11-13 are used in the HUNT study,,,,,,,
,2 Sibling was born,No,Items 14-15 are our own,,,,,,,
,3 Family member was seriously ill / injured,,,,,,,,,
,4 Parental separation or divorce,,,,,,,,,
,5 High frequency of parental quarrels,,,,,,,,,
,6 Mother/father became unemployed,,,,,,,,,
,7 Family member died,,,,,,,,,
,"8 Parent was accused, arrested or convicted of a crime",,,,,,,,,
,9 Family had financial difficulties,,,,,,,,,
,10 Alcohol and drug problems in the family ,,,,,,,,,
,11 Subjected to violence (beaten or hurt in other ways) ,,,,,,,,,
,12 Witnessed others being subjected to violence,,,,,,,,,
,13 Subjected to physical or sexual abuse ,,,,,,,,,
,14 Lived in a foster family ,,,,,,,,,
,15 Brought up in an adoptive family  ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Resilience,"When you think about your childhood, did you feel safe? ",,"Resilience, Mirjam Kalland and Sabina Simola-Ström",,,,,,,
,,"Yes, most of the time",,,,,,,,
,,Sometimes,,,,,,,,
,,Never,,,,,,,,
,,,,,,,,,,
Depression symptoms,How are you feeling?,,R-BDI; Raitasalo R. Mielialakysely- Suomen oloihin Beckin lyhyen depressiokyselyn pohjalta kehitetty masennusoireiluun ja itsetunnon kysely. 2007. ,,,,,,,
,,I am feeling quite optimistic and good,,,,,,,,
,,I do not feel sad,,,,,,,,
,,I feel sad or blue,,,,,,,,
,,I am blue or sad all the time and I can’t snap out of it,,,,,,,,
,,I am so sad or unhappy that I can’t stand it,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,How do you see your future?,,,,,,,,,
,,I am full of hope about my future,,,,,,,,
,,I am not particularly pessimistic or discouraged about the future,,,,,,,,
,,I feel discouraged about the future,,,,,,,,
,,I feel I have nothing to look forward to,,,,,,,,
,,I feel that the future is hopeless and that things cannot improve,,,,,,,,
,,,,,,,,,,
,How would you describe your life?,,,,,,,,,
,,My life has been generally successful,,,,,,,,
,,I do not feel like a failure,,,,,,,,
,,I feel I have failed more than the average person,,,,,,,,
,,"As I look back on my life, all I can see is a lot of failures",,,,,,,,
,,I feel I am a complete failure as a person,,,,,,,,
,,,,,,,,,,
,How satisfied or dissatisfied are you with your life?,,,,,,,,,
,,I am quite satisfied with my life,,,,,,,,
,,I am not particularly dissatisfied,,,,,,,,
,,I don’t enjoy things the way I used to,,,,,,,,
,,I don’t get satisfaction out of anything anymore,,,,,,,,
,,I am dissatisfied with everything,,,,,,,,
,,,,,,,,,,
,How do you feel about yourself?,,,,,,,,,
,,I feel quite good about myself,,,,,,,,
,,I don’t feel particularly guilty,,,,,,,,
,,I feel bad or unworthy a good part of the time,,,,,,,,
,,I feel quite guilty,,,,,,,,
,,I feel as though I am very bad or worthless,,,,,,,,
,,,,,,,,,,
,Are you disappointed in yourself?,,,,,,,,,
,,I am happy with myself and with what I have achieved,,,,,,,,
,,I don’t feel disappointed in myself,,,,,,,,
,,I am disappointed in myself,,,,,,,,
,,I am disqusted with myself,,,,,,,,
,,I hate myself,,,,,,,,
,,,,,,,,,,
,Do you have thoughts of harming yourself?,,,,,,,,,
,,I have never thought about suicide,,,,,,,,
,,I don’t have any thoughts of harming myself,,,,,,,,
,,I feel I would be better off dead,,,,,,,,
,,I have definite plans about committing suicide,,,,,,,,
,,I would kill myself if I had the chance,,,,,,,,
,,,,,,,,,,
,How do you feel about meeting new people?,,,,,,,,,
,,I enjoy meeting people and talking with them,,,,,,,,
,,I have not lost interest in other people,,,,,,,,
,,I am less interested in other people than I used to be,,,,,,,,
,,I have lost most of my interest in other people and have little feeling for them,,,,,,,,
,,I have lost all my interest in other people and don’t care about them at all,,,,,,,,
,,,,,,,,,,
